,market_forward_return
20181228,-0.01147
20190102,-0.000377
20190103,0.020494
20190104,0.007245
20190107,-0.002616
20190108,0.007078
20190109,-0.003634
20190110,0.007389
20190111,-0.007074
20190114,0.013637
20190115,3.00E-05
20190116,-0.004196
20190117,0.014208
20190118,0.005587
20190121,-0.0118
20190122,0.000504
20190123,0.004142
20190124,0.00387
20190125,-0.001824
20190128,-0.001049
20190129,-0.0072
20190130,0.003493
20190131,0.013023
20190201,0.013621
20190211,0.006782
20190212,0.018404
20190213,-0.000503
20190214,-0.01372
20190215,0.026831
20190218,0.000468
20190219,0.002022
20190220,-0.003411
20190221,0.019051
20190222,0.056007
20190225,-0.006675
20190226,0.004184
20190227,-0.004357
20190228,0.018039
20190301,0.011213
20190304,0.008809
20190305,0.015668
20190306,0.001392
20190307,-0.043959
20190308,0.019237
20190311,0.011006
20190312,-0.0109
20190313,-0.011981
20190314,0.010388
20190315,0.02471
20190318,-0.001758
20190319,-0.000108
20190320,0.003499
20190321,0.000869
20190322,-0.019689
20190325,-0.015095
20190326,0.00855
20190327,-0.009189
20190328,0.031992
20190329,0.025755
20190401,0.002038
20190402,0.012425
20190403,0.009413
20190404,-0.000542
20190408,-0.001586
20190409,0.000699
20190410,-0.01603
20190411,-0.000419
20190412,-0.003399
20190415,0.023857
20190416,0.002926
20190417,-0.003958
20190418,0.006337
20190419,-0.017046
20190422,-0.005116
20190423,0.000944
20190424,-0.024296
20190425,-0.011981
20190426,-0.007744
20190429,0.005172
20190430,-0.055834
20190506,0.006856
20190507,-0.011152
20190508,-0.014791
20190509,0.030957
20190510,-0.012077
20190513,-0.006923
20190514,0.019097
20190515,0.005796
20190516,-0.024838
20190517,-0.004056
20190520,0.012319
20190521,-0.004909
20190522,-0.013552
20190523,0.000168
20190524,0.013804
20190527,0.006062
20190528,0.001645
20190529,-0.00305
20190530,-0.002447
20190531,-0.002972
20190603,-0.009619
20190604,-0.000301
20190605,-0.01175
20190606,0.008605
20190610,0.0258
